SNo,HOTEL NAME,CITIES,LOCATION,NUMBER OF REVIEWS,USER RATINGS,STAR RATING,REVIEW SCORE
2314,"The Ritz-Carlton, Kuala Lumpur",Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","1,306 reviews",8.5,4,Very good
2315,Urban Living Residence,Kuala Lumpur,Kuala Lumpur,736 reviews,7.6,1,Good
2316,Hotel Capitol Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",963 reviews,7.9,1,Good
2317,Chinatown Hostel by Mingle,Kuala Lumpur,Kuala Lumpur,536 reviews,8.5,4,Very good
2318,Sunway Velocity Hotel Kuala Lumpur,Kuala Lumpur,"Pudu, Kuala Lumpur","1,235 reviews",8.4,4,Very good
2319,Sun Inns Hotel Kepong near Hospital Sungai Buloh,Kuala Lumpur,Kuala Lumpur,321 reviews,6.9,5,Review score
2320,Regalia Suites & Residences Kuala Lumpur,Kuala Lumpur,"Chow Kit, Kuala Lumpur",19 external reviews,Fabulous 8.7,5,
2321,Luxury Regalia suites by adnan,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",15 reviews,7.5,2,Good
2322,YOLO Budget Condo KL 5.0,Kuala Lumpur,Kuala Lumpur,,,5,
2323,8 Kia Peng KLCC & Bukit Bintang by Luna,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",1 review,10,1,Exceptional
2324,Stay with Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",458 reviews,8.3,2,Very good
2325,Ibis Styles Kuala Lumpur Fraser Business Park,Kuala Lumpur,"Pudu, Kuala Lumpur",514 reviews,7.8,4,Good
2326,Silka Maytower Kuala Lumpur,Kuala Lumpur,"Golden Triangle, Kuala Lumpur",679 reviews,7.1,1,Good
2327,The Robertson Bukit Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",51 reviews,9.1,2,Superb
2328,"Leo Palace New Wing, WTC Kuala Lumpur",Kuala Lumpur,"Chow Kit, Kuala Lumpur",834 reviews,7.1,3,Good
2329,Hotel S Damansara,Kuala Lumpur,Kuala Lumpur,776 reviews,7.4,4,Good
2330,Chambers Suites KLCC By Sky pool,Kuala Lumpur,"Chow Kit, Kuala Lumpur",88 reviews,8.9,1,Fabulous
2331,Scarletz Suites at KLCC by Veedu Hauz,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",22 reviews,9.3,1,Superb
2332,Studio with balcony,Kuala Lumpur,"Chow Kit, Kuala Lumpur",2 reviews,9.0,4,Superb
2333,Seri Pacific Hotel Kuala Lumpur,Kuala Lumpur,"Chow Kit, Kuala Lumpur","6,267 reviews",8.4,4,Very good
2334,Cozy Studio 188 Suites KLCC by VastHaven,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",74 external reviews,Exceptional 9.8,5,
2335,Quill Residence by Fairy Meadow's,Kuala Lumpur,Kuala Lumpur,,,5,
2336,The Axon Suites Bukit Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",24 reviews,9.0,2,Superb
2337,SunwayVelocity2房干净舒适之家｜欣赏吉隆坡四大天王 V Residence 2111,Kuala Lumpur,"Pudu, Kuala Lumpur",3 external reviews,Exceptional 10,5,
2338,The Luxe By Infinitum by QC,Kuala Lumpur,"Chow Kit, Kuala Lumpur",10 reviews,7.3,1,Good
2339,InnB Park Hotel,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",394 reviews,8.1,2,Very good
2340,The Galaxy Suites at EATON KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",1 review,10,4,Exceptional
2341,Neu Suites 001-A,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",13 reviews,8.8,1,Fabulous
2342,Summer Suites Klcc Holiday Homes,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",32 reviews,7.8,1,Good
2343,Penthouse on 34 - The Highest Unit and Best Views in Regalia & Private Rooftop Terrace,Kuala Lumpur,"Chow Kit, Kuala Lumpur",787 reviews,8.2,2,Very good
2344,V Garden Hotel,Kuala Lumpur,"Pudu, Kuala Lumpur",287 reviews,7.7,3,Good
2345,Safari Hotel,Kuala Lumpur,"Ampang, Kuala Lumpur",784 reviews,6.6,4,Review score
2346,EkoCheras Designer Suite by Moka @ Cheras,Kuala Lumpur,Kuala Lumpur,776 reviews,8.0,1,Very good
2347,Yemala Suites @ Vortex KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",364 reviews,7.8,1,Good
2348,Lucentia Residence Bukit Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",3 reviews,9.0,4,Superb
2349,Regalia Upper View Hotel,Kuala Lumpur,"Chow Kit, Kuala Lumpur","2,173 reviews",6.6,4,Review score
2350,Hotel Transit Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",808 reviews,7.3,5,Good
2351,Travelodge Chinatown Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,"1,274 reviews",7.8,5,Good
2352,KL View Sky Bungalow City,Kuala Lumpur,Kuala Lumpur,,,2,
2353,Neu Suites 3rdNvenue 002 A,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",,,5,
2354,Tropicana The Residences - KLCC By Luxury World,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",12 reviews,8.6,1,Fabulous
2355,KLCC Suites at Platinum,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",341 reviews,8.4,2,Very good
2356,The Bed Bukit Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",63 reviews,8.6,4,Fabulous
2357,M Suite Menjalara,Kuala Lumpur,Kuala Lumpur,2 reviews,8.5,1,Very good
2358,KLCC Quill Dreamy Stay,Kuala Lumpur,Kuala Lumpur,1 review,1.0,2,Review score
2359,"Times Square Service Apartment , Kuala Lumpur",Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",196 reviews,7.1,3,Good
2360,"Infini Suites@ UNA Residences, Sunway Velocity KL",Kuala Lumpur,"Pudu, Kuala Lumpur",28 reviews,9.6,4,Exceptional
2361,Opus Residences Kuala Lumpur 118 Tower,Kuala Lumpur,"Mid Valley, Kuala Lumpur",46 reviews,9.3,1,Superb
2362,Impiana KLCC Hotel,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur","2,784 reviews",7.6,1,Good
2363,Dua Sentral Kuala Lumpur by Five Senses,Kuala Lumpur,Kuala Lumpur,350 reviews,7.5,4,Good
2364,Royce Hotel Kuala Lumpur Sentral,Kuala Lumpur,"Brickfields, Kuala Lumpur","1,511 reviews",6.6,4,Review score
2365,Mercu Summer Suites KLCC by SS Residence,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",234 reviews,8.7,5,Fabulous
2366,Ascott Sentral Kuala Lumpur,Kuala Lumpur,"Brickfields, Kuala Lumpur","1,031 reviews",8.7,5,Fabulous
2367,Opus Service Suite Kuala Lumpur,Kuala Lumpur,"Mid Valley, Kuala Lumpur",3 reviews,10,2,Exceptional
2368,masroom Hotel Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,420 reviews,7.8,5,Good
2369,Prescott Hotel Kuala Lumpur Medan Tuanku,Kuala Lumpur,"Chow Kit, Kuala Lumpur",251 reviews,7.9,1,Good
2370,Times Square Kuala Lumpur JN,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",8 reviews,7.6,2,Good
2371,Eaton Suites By The RT Group,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",22 reviews,7.7,4,Good
2372,M City Ampang MY,Kuala Lumpur,"Ampang, Kuala Lumpur",5 reviews,9.4,1,Superb
2373,Sunway Pyramid Hotel,Kuala Lumpur,Kuala Lumpur,"2,800 reviews",8.0,1,Very good
2374,J-Hotel by Dorsett,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",801 reviews,8.0,2,Very good
2375,Platinum Suite @ KL Tower and KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",2 reviews,7.0,3,Good
2376,Reizz Residence By Nirvana,Kuala Lumpur,"Ampang, Kuala Lumpur",4 reviews,10,4,Exceptional
2377,Platinum Suites @ Swiss Garden,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",835 reviews,7.0,1,Good
2378,Cosy Home 3 min Pavilion By Elefen Homestay,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",4 external reviews,Exceptional 10,1,
2379,Vortex suites klcc by Dahlia,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",,,4,
2380,"Crystal Suites at Eaton, KLCC",Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",96 reviews,9.4,4,Superb
2381,ONE world service suite at times square Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",31 reviews,7.1,5,Good
2382,Stylish & Comfy TTDI Ascencia Studio FREE Parking,Kuala Lumpur,Kuala Lumpur,2 reviews,10,5,Exceptional
2383,Petal airbnb,Kuala Lumpur,"Golden Triangle, Kuala Lumpur",,,2,
2384,KL GOLD SUITE @ TIME SQUARE,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",83 reviews,7.1,5,Good
2385,"Axon Bukit Bintang, Kuala Lumpur",Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",2 reviews,9.5,1,Exceptional
2386,Happy Stay Apartment At Times Square,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",59 reviews,8.2,2,Very good
2387,Riccarton Capsule Hotel,Kuala Lumpur,Kuala Lumpur,"1,104 reviews",7.7,4,Good
2388,Anggun KL Malaysia,Kuala Lumpur,"Chow Kit, Kuala Lumpur",58 reviews,8.8,1,Fabulous
2389,Prime Hotel,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",486 reviews,7.0,2,Good
2390,Maison Boutique Theme Hotel @ Bukit Bintang City Centre,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","1,359 reviews",7.7,3,Good
2391,Expressionz Professional Suites by Autumn Suites Premium Stay,Kuala Lumpur,Kuala Lumpur,189 reviews,8.2,4,Very good
2392,Platinum KLCC Suites By Fusion,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",12 reviews,8.1,1,Very good
2393,1Orange Hotel Sri Petaling,Kuala Lumpur,Kuala Lumpur,473 reviews,7.3,1,Good
2394,Scarletz Mana-Mana Suites KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",761 reviews,8.3,4,Very good
2395,Vortex Suites KLCC by G,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",19 reviews,8.3,4,Very good
2396,Oasia Suites Kuala Lumpur by Far East Hospitality,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur","2,523 reviews",8.3,5,Very good
2397,Neu Suites @ 3rdNvenue 002 (B),Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",1 review,10,5,Exceptional
2398,3 Towers By Shahjala Suites,Kuala Lumpur,"Ampang, Kuala Lumpur",28 reviews,7.5,2,Good
2399,Verdant Hill Hotel Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","1,989 reviews",8.3,5,Very good
2400,Stay @ NOVO Ampang,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",10 reviews,9.3,1,Superb
2401,Royal Suites At Dua Sentral,Kuala Lumpur,Kuala Lumpur,,,2,
2402,"High floor 2 rooms Apartment at Trion KL, 4-pax KL Centre near MRT, EV-parking lots",Kuala Lumpur,"Pudu, Kuala Lumpur",,,4,
2403,KLCC Suites Platinum 2,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",2 reviews,10,1,Exceptional
2404,"Sunway Lagoon Hotel , formerly Sunway Clio Hotel",Kuala Lumpur,Kuala Lumpur,758 reviews,8.4,1,Very good
2405,Anggun Suites KLCC BY Fortune,Kuala Lumpur,"Chow Kit, Kuala Lumpur",19 reviews,9.4,2,Superb
2406,SPOT ON 90850 Ehsan Travels Home,Kuala Lumpur,Kuala Lumpur,5 reviews,5.2,3,Review score
2407,BBCC Apartments At Lucentia,Kuala Lumpur,"Pudu, Kuala Lumpur",84 reviews,7.9,4,Good
2408,Hotel Maluri,Kuala Lumpur,"Ampang, Kuala Lumpur","2,367 reviews",7.8,1,Good
2409,Lexa Residences at KL,Kuala Lumpur,Kuala Lumpur,3 reviews,9.7,1,Exceptional
2410,Pullman Kuala Lumpur City Centre Hotel & Residences,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","5,951 reviews",8.4,4,Very good
2411,Platinum Victory KLCC by BHS,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",447 reviews,9.0,4,Superb
2412,Hotel Sentral KL @ KL Sentral Station,Kuala Lumpur,"Brickfields, Kuala Lumpur","4,416 reviews",6.4,5,Review score
2413,Continew Residence by Cobnb,Kuala Lumpur,"Pudu, Kuala Lumpur",184 reviews,8.6,5,Fabulous
2414,Domitys Bangsar Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,461 reviews,8.4,2,Very good
2415,Cosmo Hotel Kuala Lumpur,Kuala Lumpur,"Golden Triangle, Kuala Lumpur","1,332 reviews",7.4,5,Good
2416,Arte Cheras By Awesome Stay,Kuala Lumpur,Kuala Lumpur,1 review,10,1,Exceptional
2417,ExpressionZ KLCC By Starwood Luxury,Kuala Lumpur,Kuala Lumpur,"1,205 reviews",7.8,2,Good
2418,Arte + @Jalan Ampang 3bedroom,Kuala Lumpur,"Ampang, Kuala Lumpur",,,4,
2419,Jenet Service Suite At Times Square KL,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",21 reviews,8.5,1,Very good
2420,Ceylonz KLCC by Perfect Host,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","2,027 reviews",8.1,2,Very good
2421,Scarletz Leisure Suites KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",35 reviews,7.8,3,Good
2422,Vortex suites klcc by city,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",3 reviews,8.7,4,Fabulous
2423,HighFloor KL View@Scarletz Suite,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",2 reviews,9.0,1,Superb
2424,AnyLodge 67 @ M Centura Sentul,Kuala Lumpur,Kuala Lumpur,,,1,
2425,The Common Room @ Regalia,Kuala Lumpur,"Golden Triangle, Kuala Lumpur",75 reviews,8.4,4,Very good
2426,D'Majestic Place by Widebed,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",409 reviews,7.2,4,Good
2427,A Comfy Studio High Floor with FREE Parking,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",,,5,
2428,City Centre MRT KLCC Sunway Velocity,Kuala Lumpur,"Pudu, Kuala Lumpur",2 reviews,10,5,Exceptional
2429,Royce Residence KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",,,2,
2430,The Tropicana KLCC By Sky pool,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",47 reviews,8.0,5,Very good
2431,3 bedroom with youtube netflix Max 7 person,Kuala Lumpur,Kuala Lumpur,1 review,1.0,1,Review score
2432,Aurora Place Suites Kuala Lumpur Bukit Jalil by Rasa Sayang,Kuala Lumpur,Kuala Lumpur,137 reviews,7.0,2,Good
2433,Summer suites near by KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",83 reviews,9.4,4,Superb
2434,"Hyatt House Kuala Lumpur, Mont Kiara",Kuala Lumpur,"Mont Kiara, Kuala Lumpur",802 reviews,8.4,1,Very good
2435,Dua Sentral by Cobnb,Kuala Lumpur,Kuala Lumpur,66 reviews,7.3,1,Good
2436,Opus Suites Kuala Lumpur by Welt,Kuala Lumpur,"Mid Valley, Kuala Lumpur",3 external reviews,Superb 9.3,2,
2437,BBCC APARTMENT AT LUCENTIA 2,Kuala Lumpur,"Pudu, Kuala Lumpur",9 reviews,8.6,3,Fabulous
2438,CL 31B Modern Infinity Pool KLCC View,Kuala Lumpur,"Chow Kit, Kuala Lumpur",1 review,9.0,4,Superb
2439,Zecon Hotel HPKK,Kuala Lumpur,Kuala Lumpur,163 reviews,8.7,1,Fabulous
2440,Petal airbnb,Kuala Lumpur,"Golden Triangle, Kuala Lumpur",,,1,
2441,Hyatt Place Kuala Lumpur Bukit Jalil,Kuala Lumpur,Kuala Lumpur,4 reviews,8.3,4,Very good
2442,Floresta Hotel Chinatown,Kuala Lumpur,Kuala Lumpur,199 reviews,7.1,4,Good
2443,Mercu Summer KLCC by Malenehom,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",,,5,
2444,"Millerz Square Kuala Lumpur, Travelet",Kuala Lumpur,"Mid Valley, Kuala Lumpur",4 reviews,8.3,5,Very good
2445,Dorsett Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","5,406 reviews",7.4,2,Good
2446,ins风2房2厕可睡4人#免费网络#美食#泳池#绝美夜景#谷中城#MillerzA23a02,Kuala Lumpur,"Mid Valley, Kuala Lumpur",,,5,
2447,The Robertson Bukit Bintang by Wowhome,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",223 reviews,8.3,1,Very good
2448,OYO 90780 J Hotel Bukit Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",53 reviews,5.8,2,Review score
2449,Arte Mont Kiara Studio Apartment Hartamas,Kuala Lumpur,Kuala Lumpur,7 reviews,9.0,4,Superb
2450,D'Majestic by Lush Living,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",327 reviews,8.6,1,Fabulous
2451,Citin Hotel Masjid Jamek by Compass Hospitality,Kuala Lumpur,"Golden Triangle, Kuala Lumpur","1,658 reviews",6.7,2,Review score
2452,OOAK SUITES AT MONT KIARA KUALA LUMPUR,Kuala Lumpur,"Mont Kiara, Kuala Lumpur",5 reviews,9.2,3,Superb
2453,A Cozy High Floor Suasana KL Bkt Bintang,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",4 reviews,8.8,4,Fabulous
2454,Scarletz Suites KLCC by De Harlequins Guesthouse,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",57 reviews,8.0,1,Very good
2455,Platinum KLCC Pool View,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",35 reviews,9.2,1,Superb
2456,Cititel Mid Valley,Kuala Lumpur,"Mid Valley, Kuala Lumpur","1,664 reviews",7.8,4,Good
2457,Appartment Near KLCC by GRIHOZ HOMESTAY,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",2 reviews,8.5,4,Very good
2458,Hotel VGO,Kuala Lumpur,Kuala Lumpur,190 reviews,7.1,5,Good
2459,Ekocheras @ Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,157 reviews,8.1,5,Very good
2460,Ceylonz KLCC by Mana-Mana,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",91 reviews,7.8,2,Good
2461,Star KLCC by AR Hosp,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",236 reviews,8.7,5,Fabulous
2462,Infini Suites@ D'Majestic Place Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",39 reviews,8.5,1,Very good
2463,OYO 89576 Mokka Hotel,Kuala Lumpur,Kuala Lumpur,342 reviews,7.5,2,Good
2464,Arte Mont Kiara X Sonno,Kuala Lumpur,Kuala Lumpur,1 review,9.0,4,Superb
2465,Duta Hotel & Residence,Kuala Lumpur,Kuala Lumpur,91 reviews,8.4,1,Very good
2466,Eaton KLCC by BHS,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",25 reviews,8.3,1,Very good
2467,The Axon Studio Unit by Brick Home,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",,,2,
2468,Vortex KLCC by Rainbow,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",131 reviews,8.6,3,Fabulous
2469,Vortex klcc promotion 2023,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",1 review,8.0,4,Very good
2470,Arte Plus by Cobnb KLCC,Kuala Lumpur,"Ampang, Kuala Lumpur","1,039 reviews",7.6,1,Good
2471,Midvalley/Sunway/KL Sentral/KLCC,Kuala Lumpur,"Mid Valley, Kuala Lumpur",,,1,
2472,Sky Suite KLCC By RT Group,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",31 reviews,7.5,4,Good
2473,Platinum Service Suites KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",411 reviews,7.9,4,Good
2474,UTM Hotel & Residence,Kuala Lumpur,Kuala Lumpur,810 reviews,8.1,5,Very good
2475,Hotel Raja Bot,Kuala Lumpur,"Chow Kit, Kuala Lumpur",598 reviews,7.3,5,Good
2476,Sentral Suites Kl Sentral By Luxe Home,Kuala Lumpur,"Brickfields, Kuala Lumpur",,,2,
2477,Travelogue Guest House,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",804 reviews,8.1,5,Very good
2478,Ceylonz Suites Bukit Bintang by KL ONE,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",1 review,10,1,Exceptional
2479,Bpod at Jalan Tuanku Abdul Rahman,Kuala Lumpur,"Chow Kit, Kuala Lumpur",,,2,
2480,The Axon Suites Bukit Bintang By Cozy Stay,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",12 reviews,9.3,4,Superb
2481,Springz Hotel-Bukit Jalil,Kuala Lumpur,Kuala Lumpur,382 reviews,7.0,1,Good
2482,Golden Optimum Times Square Suites KL,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",3 reviews,7.0,2,Good
2483,The Platinum Suites KLCC Kuala Lumpur,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",3 reviews,8.7,3,Fabulous
2484,E&O Residences Kuala Lumpur,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur","1,143 reviews",7.8,4,Good
2485,M Design Hotel @ Pandan Indah,Kuala Lumpur,"Ampang, Kuala Lumpur",258 reviews,7.1,1,Good
2486,lyf Raja Chulan Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",267 reviews,8.7,1,Fabulous
2487,KL CENTRAL SPOT,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",,,4,
2488,KLCC Luxury Suite @ Chambers by Lily and Loft,Kuala Lumpur,"Chow Kit, Kuala Lumpur",18 reviews,9.4,4,Superb
2489,Robertson PanoramaKL Suites,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",170 reviews,8.5,5,Very good
2490,Ramada Suites by Wyndham Kuala Lumpur City Centre,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",468 reviews,8.0,5,Very good
2491,Regalia Suites KL by Home Sweet Home,Kuala Lumpur,"Golden Triangle, Kuala Lumpur",30 reviews,7.8,2,Good
2492,Platinum KLCC By COZY,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",79 reviews,8.5,5,Very good
2493,EkoCheras Suite by MOKA,Kuala Lumpur,Kuala Lumpur,132 reviews,8.2,1,Very good
2494,Nj Homestay at Arte Mont Kiara,Kuala Lumpur,Kuala Lumpur,102 reviews,7.7,2,Good
2495,Quill Residences Klcc By Sky World,Kuala Lumpur,Kuala Lumpur,11 reviews,9.5,4,Exceptional
2496,Pavillion Suite @ Bukit Jalil; 4PAX,Kuala Lumpur,Kuala Lumpur,7 external reviews,Fabulous 8.9,1,
2497,Greystone D' Majestic Place,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",16 reviews,8.7,1,Fabulous
2498,Platinum Suites KLCC by Luxurinn Bukit Bintang,Kuala Lumpur,Kuala Lumpur,2 reviews,10,2,Exceptional
2499,Hotel AL Amin,Kuala Lumpur,"Golden Triangle, Kuala Lumpur","1,172 reviews",6.4,3,Review score
2500,KL Gateway Residency,Kuala Lumpur,"Bangsar South, Kuala Lumpur",144 reviews,8.6,4,Fabulous
2501,The Mews KlCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",,,1,
2502,Chambers kl luxury studio apartment with balcony klcc view,Kuala Lumpur,"Chow Kit, Kuala Lumpur",3 reviews,9.3,1,Superb
2503,Grand Millennium Kuala Lumpur,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","4,541 reviews",8.1,4,Very good
2504,Taragon Residences,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",133 reviews,6.9,4,Review score
2505,Ekocheras Duplex with 2 beds,Kuala Lumpur,Kuala Lumpur,2 reviews,10,5,Exceptional
2506,KLCC Comfort Haven,Kuala Lumpur,"Chow Kit, Kuala Lumpur",8 reviews,9.0,5,Superb
2507,Regalia Residence with City view - Two bedroom,Kuala Lumpur,"Chow Kit, Kuala Lumpur",136 external reviews,Very good 8.4,2,
2508,Villa Samadhi by Samadhi - Adults Only,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",235 reviews,8.5,5,Very good
2509,KL Sentral Bangsar Suites (EST) by Luxury Suites Asia,Kuala Lumpur,"Brickfields, Kuala Lumpur","1,301 reviews",8.1,1,Very good
2510,de King Boutique Hotel KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur","2,053 reviews",7.8,2,Good
2511,Reizz Residence by Perkasa Homestay,Kuala Lumpur,"Ampang, Kuala Lumpur",86 reviews,9.5,4,Exceptional
2512,Chambers suites 424,Kuala Lumpur,"Chow Kit, Kuala Lumpur",17 reviews,9.0,1,Superb
2513,Mid Valley Luxury Style Suites 谷中城奢华风格套房,Kuala Lumpur,Kuala Lumpur,,,2,
2514,Arte Mont Kiara,Kuala Lumpur,Kuala Lumpur,29 reviews,7.5,3,Good
2515,De Elements Business Hotel KL,Kuala Lumpur,Kuala Lumpur,372 reviews,7.3,4,Good
2516,Axon Bukit Bintang Pavillion KL KLCC by GoMain,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",10 reviews,8.8,1,Fabulous
2517,Expressionz Premium Suites @ KLCC,Kuala Lumpur,Kuala Lumpur,2 reviews,10,1,Exceptional
2518,Societe Suites by Lyfehaus,Kuala Lumpur,"Sri Hartamas, Kuala Lumpur",19 reviews,8.8,4,Fabulous
2519,Millerz Square by Mykey Global,Kuala Lumpur,"Mid Valley, Kuala Lumpur",355 reviews,9.1,4,Superb
2520,3 Towers Jalan Ampang KLCC I HomeBrickz,Kuala Lumpur,"Ampang, Kuala Lumpur",4 reviews,6.5,5,Review score
2521,Arte Mont Kiara,Kuala Lumpur,Kuala Lumpur,"1,614 reviews",6.9,5,Review score
2522,The Colony Infinitum By The Relax Stay KL,Kuala Lumpur,"Chow Kit, Kuala Lumpur",22 reviews,6.9,2,Review score
2523,EXPRESSIONZ KLCC BY G Suites,Kuala Lumpur,Kuala Lumpur,"1,539 reviews",7.2,5,Good
2524,ESQ Shamelin Hotel,Kuala Lumpur,"Ampang, Kuala Lumpur",190 reviews,7.1,1,Good
2525,Pavillion Embassy Service Apartment by Autumn Suites Premium Stay,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",52 reviews,9.0,2,Superb
2526,#6 KLCC Platinum Suites (Face Suites) 2BED 1BATH,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",2 reviews,8.5,4,Very good
2527,Axon Suites Bukit Bintang by Prestige,Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",6 reviews,8.7,1,Fabulous
2528,188 Suites KLCC,Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",164 reviews,8.0,1,Very good
