S NO,HOTEL NAME,FREE WIFI,FAMILY ROOMS,NON SMOKING ROOMS,RESTAURANT,BAR,HEATING,LIFT,BREAKFAST CUISINE 1,BREAKFAST CUISINE 2,BREAKFAST CUISINE 3
539,503 Cozy STUDIO near the metro and the beach,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
540,Primestay - Vera Residence Business Bay 1BR,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
541,"Cayan Tower, The dream tower",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
542,Crystal Clear 1BR Apt in Blue Waters by Rich Stay,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
543,Luxury appartment Regina Tower JVC,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
544,Livbnb Address JBR Suites - Prime 1 Bedroom,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
545,Fantastic OFFER! Beautifully upgraded Studio Apt - JBR,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
546,"Primestay - Golf Promenade 2A, DAMAC Hills",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
547,Burj khalifa view Apartment,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
548,Luxury Family Apartment with 2 sharing washroom G-17 M02,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
549,3 Bedroom near Dubai Mall Downtown - Ezytrac Vacation Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
550,Letstay - Charming Studio in Business Bay with Downtown View,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
551,"La Mer, La Cote Bldg 2bedrooms 2 Bathrooms and Pool",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
552,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
553,JLT Room,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
554,Chic 1-BR Apartment near WTC Elegantly Designed,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
555,Charming Studio at Sky Gardens DIFC by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
556,Stylish 2BR in Bella Rose Al Barsha South by Deluxe Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
557,Rare Holiday Homes offer Studio apartment in Celestia Tower- Dubai South DWC R767,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
558,Executive Apartment Near Metro.,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
559,Comfortable 1 BR-Tower 108,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
560,Brand new Luxury Studio in Dubai Sport City,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
561,Ready to Move private partitions,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
562,Fully Furnished Studio with Golf views and Gym,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
563,"Spacious Studio in MYKA, Near City Centre Meaisem",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
564,Frank Porter - Sobha Waves,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
565,SHH - Furnished Studio in Dubai South Near to Expo 2021,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
566,Striking 2BR APT offering views at Creekside 18 A,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
567,Beautiful Apartment on Palm Jumeirah with Huge Sea View Balcony,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
568,1-BR Greens: Ideal for Newcomers,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
569,Key View - Maple 2,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
570,Primestay - Rahaal 1 in MJL,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
571,Resivation Hotel,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
572,Golf Course View Unit Elite Residences R1303 Dubai Sports City,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
573,Brand New 1BR Apartment with Marina View - THS,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
574,Spacious 1B with Balcony in Business Bay,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
575,Dubai South 2 Bedroom in The Pulse Residence Park B3,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
576,"Al Tajer, Core C, Souk Al Bahar - Vacationer",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
577,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
578,PR25 - Cozy 1BR in Polo Residences,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
579,Lovely and spacious 1 bedroom with extra sofa bed,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
580,Autumn Community Apartment in Jumeirah Village Circle,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
581,Splendid 1BR in Executive Bay Tower Business Bay by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
582,Studio - MAG 318,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
583,Frank Porter - The Address JBR,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES
584,Silkhaus Luxurious Studio in Studio One Tower,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
585,The Suite Dubai Luxury living,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
586,"1BHK flat DG22, Close to The Gardens Metro 3 min walkable",YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
587,Alashrafia Saray- Homey 1BR apartment in Sport City,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES
588,"Studio at Damac Capital Bay, Business Bay by Ezytrac Vacation homes",YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
589,GuestReady - Contemporary Orange in Arjan,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES
590,Astonishing Marina & sea view modern apartment,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
591,"Silkhaus new furnished studio in JVC, Luma 21",NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
592,Warm and Elegant Studio in Dubai,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
593,1 bedroom in DIFC,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES
594,Silkhaus new studio in JVC with queen Bed,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
595,Alashrafia Saray- Splendid 1BR apartment in Canal Views,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES
596,Frank Porter - Oxford 212,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
597,Vacay Lettings - Lovely Studio with Pool View,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
598,"Waves Holiday Home - Charming Apt With Balcony, Minutes From The Beach",YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
599,Lush Studio at The Cosmopolitan Business Bay by Deluxe Holiday Homes,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES
600,bnbmehomes - Chic Studio in Damac Hills w Superior Facilities-2807,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
601,GuestReady - Emerald Skies,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES
602,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,NO,YES,YES,YES,YES,NO,NO,YES,NO
603,Luxury 3 bedrooms apartment,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
604,Brand New 2BR Apt with Palm Views and Private Beach,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
605,Modern 1BR at Al Shera Tower JLT by Deluxe Holiday Homes,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
606,ibis Styles Dubai Airport Hotel,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
607,Luxurious & Modern Studio in JVC,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES
608,The Smart Concierge - Manchester Tower,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO
609,The Smart Concierge - Beach Vista Tower,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO
610,Spacious Fully Furnished 1bhk Lincoln Park,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
611,Deluxe Apartment with Pool & Beach in Palm,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
612,Staycae - Emaar Beach Isle,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
613,Business Bay's Coziest Hideaway With Balcony,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES
614,ALH Vacay - Al Bateen Residences 2BR,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO
615,Cozy Studio In front of Metro in Jebel Ali- BRC,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO
616,Manzil - Exquisite Studio Near Downtown Dubai with large balcony and Dubai Canal,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
617,Luxury StayCation - Elegant Apartment With Balcony and Large Pool,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
618,Rare Holiday Homes Luxurious Studio Near Expo 2020 & DWC Airport Celestia Tower- A451,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
619,Key View - Lago Vista,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES
620,Bright furnished studio near metro in Tecom - ALY,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
621,Superb Studio in Luma 21-JVC,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO
622,Stella Stays Elegant Studio Dubai JVC Private Balcony,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
623,Silkhaus large studio with bedroom in Business Bay's new tower,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
624,Frank Porter - Stella Maris,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
625,HiGuests - Modern Condo with Breathtaking Lagoon Views,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES
626,Partition Al rigga,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
627,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,YES,YES,NO,YES,NO,YES,YES,YES,NO
628,Pure Living - Mesmerizing Marina-View Apartment With Balcony,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
629,Binghatti canal,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
630,New cosy and stylish studio in the heart of JVC,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
631,"15 Northside, Business Bay - Mint Stay",YES,NO,YES,YES,NO,YES,YES,NO,YES,YES
632,Lush 1 BR at Executive Bay,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO
633,Lovely 1 bedroom with Balcony & Rooftop Pool & Gym,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO
634,STAY Perfect 1BR Holiday Home near Burj Khalifa,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
635,OFFER! 50% OFF! Awesome space for 4!,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
636,Modern 2 bedroom flat with a view in Zabeel Park,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
637,"50% DISCOUNT GIVEN!I Check me out, I can sleep 4!!",YES,NO,NO,NO,YES,YES,YES,NO,NO,YES
638,Frank Porter - Goldcrest Executive,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
639,New! Luxurious stay Dubai Creek Balcony & View,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
640,Diamond Studio,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
641,GuestReady - Posh wonderland in Harbour Gate,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
642,Elevated Elegance - Panoramic Marina Views Await - The Torch Tower,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
643,Dar Vacation - Spacious Seaview 2BR Apartment,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES
644,Travelers - Dubai Marina Hostel,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
645,LUXFolio Retreats Beautiful JLT 1BR Apartment,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
646,ESAW Holidays Home,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES
647,Supreme Luxury 2BR Apartment,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES
648,ANW Vacation Homes - Harbour Views 2 in Creek Harbour - 2 Bedroom apartment with Beautiful view,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
649,Enjoy Hollywoods life style,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES
650,MH- Cozy 2 BHK Canal View ref-25016,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES
651,GuestReady - Jewel by the Canal,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES
652,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
653,Posh 3 Bedroom Apartment With Private Tennis Court,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
654,Spacious -Upgraded Studio Close to Metro- Tecom,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
655,Stunning and attractive studio,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
656,1 Bedroom Pool View Apartment in Greens - OAS,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
657,Luxury 2BR in Downtown with Full Burj Khalifa View,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
658,Neat 1BR at Claren Tower 1 Downtown Dubai by Deluxe Holiday Homes,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
659,Luxurious 2 Bedroom with Best Dubai Marina View,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
660,OFFER! Beautiful upgraded 2BR with Sea view - Palm Jumeirah,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
661,"OFFER! 50% GIVEN! Look at me, I'm cool & sleep 4!",YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
662,Silkhaus spacious 1BR apartment in Dubai Marina,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
663,Lovely 1BR in Downtown Dubai - Boulevard Central,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES
664,Stay Holiday Homes by Al Ghurair - 3BR Villa - Joy Arabian Ranches - Dubai,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
665,R N D Vacation apartment in downtown business bay,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO
666,The Smart Concierge - Marinascape Oceanic,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
667,Key View - Rawda Residence 1,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
668,Rare Holiday Homes Offer Studio in Discovery Garden - Med103 Apartment G07,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES
669,"SHH - Funished Studio with Balcony in Damac Celestia, Dubai South Near Expo",YES,NO,YES,NO,YES,NO,YES,YES,YES,YES
670,Royal Suites by Just Cavalli - Marina apartment,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
671,Pine - Unique Condo With Spacious Terrace In Damac Hills,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO
672,LUXFolio Retreats - Astonishing 3BHk Apartment,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
673,Exclusive Marina Side 1 bed apartment,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
674,Keysplease Modern 2 B/R W/ Breathtaking Views Dubai Marina,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES
675,Key View - Elite Residence,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
676,"Keysplease Upgraded Tip Frond 5 B/R Beach Villa W/ Private Beach, Palm",NO,YES,NO,YES,YES,YES,YES,YES,NO,NO
677,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,YES,NO,YES,YES,YES,YES,YES,NO,NO
678,O Ten - Spacious One Bedroom,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
679,STAY Blissful 1BR Holiday Home near Burj Khalifa,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES
680,Trinity Holiday Homes - 1BR Reva Residences Business Bay,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES
681,Placid 2BR with Assistant Room at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO
682,Rare Holiday Homes - 78 SqM in Dubai Marina - Marina View - DEC Tower R2008,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
683,Stylish 1-Bedroom in JVC,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
684,Ultra-luxury / Dubai Marina & Burj KHALIFA View/ High Floor,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
685,FIVE JVC Luxurious Sky Villa with Private Pool,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES
686,"Keysplease New Beautiful 1 B/R Apt, Atria Tower Business Bay",NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
687,"Stylish and fully upgraded, minutes to downtown dubai",NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
688,Stella Stays Lovely 2 BDR Dubai JVC Private Balcony,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
689,Luminous 2BR Apartment at Madison Residency Barsha Heights by Deluxe Holiday Homes,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
690,Elite 8 sport city,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
691,"Cosy 1 BDR with Private Beach, Azizi Mina, Palm Jumeirah",YES,YES,NO,NO,YES,YES,YES,NO,NO,YES
692,Bright 1BR at Sulafa Tower Dubai Marina by Deluxe Holiday Homes,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
693,Quintessential Quarters - Gorgeous Sunset View in the Heart of Downtown,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
694,Gasherry's Holiday Homes,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES
695,Modern 2BR/Stella Maris/Marina & Sea view,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES
696,Stunning Studio at Marina Views A Dubai Marina by Deluxe Holiday Homes,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
697,One-bedroom apartment,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES
698,IntercityHotel Dubai Jaddaf Waterfront,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES
699,Lovely New 1 bed Apt - Mirdif Hills Avenue,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES
700,Luxury Residence Stella Maris,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
701,Superior 1BR In Burj Royale - Downtown Dubai,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
702,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
703,Serene 1BR at The Address Residences in JBR by Deluxe Holiday Homes,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
704,"Bright, spacious and cozy studio apartment",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
705,"Full Apartment in Dubai Marina,80m from beach",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
706,Millennium Place Barsha Heights Hotel,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
707,STAY Luminous 1 BR Holiday Home near Burj Khalifa,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
708,Staycae Holiday Homes - Princess Tower,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
709,"New Age Vacation Homes - 1BR in Lake View, JLT",YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
710,Nasma Luxury Stays - Elegant Retreat With Terrace Near Marina Walk,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
711,"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel",YES,NO,YES,NO,YES,NO,YES,YES,YES,YES
712,LHG ADDRESS BEACH Residence,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
713,New Arabian Reva Business Bay,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO
714,Silkhaus Burj Khalifa proxy 1BR with extra single bedroom,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
715,Beautiful Views From 30th Floor & 2BD & Peaceful & Spacious,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
716,Modern 1BR near the Metro in Armada Tower 3 - AWD,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES
717,Frank Porter - Fairways West,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES
718,Stunning 1BR at Prime Views Meydan by Deluxe Holiday Homes,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
719,Stella Stays Trendy 1 BDR Dubai JBR Beach Netflix,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO
720,VayK - Fully Renovated One Bedroom in Dubai Marina,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
721,Primestay - Al Barsha South Marquis 2020,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
722,GuestReady - Greatly situated near attractions,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES
723,"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
724,Tropical Oasis apartment in Meydan by Suiteable,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO
725,Fully furnished apartment 1bedroom in dubai marina,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO
726,Zada Tower - 1 BR Apartment - KeyRock Living Holiday Homes,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
727,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,NO,YES,YES,NO,YES,YES,NO,YES,YES
728,"Super OYO 928 Home 436 Binghatti Mirage - 1BR, JVC",YES,NO,YES,NO,NO,YES,YES,NO,YES,YES
729,"Refreshing Interior, Prime Location",NO,YES,YES,NO,YES,YES,YES,YES,YES,NO
730,Brand New Studio near Metro & Mall - GHA,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
731,Elegant 1BR in Shams 1 JBR by Deluxe Holiday Homes,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
732,Waves Holiday Home - Waterfront Apartment With Breathtaking Sea Views,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
733,Cozy Furnished studio close to IBN Battuta Mall - TNY,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES
734,RiseUp-Cozy 2 Bedroom in Business Bay,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO
735,Upbeat 1BR at Marina Pinnacle Dubai Marina by Deluxe Holiday Homes,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
736,Sea & Marina View 1 Bedroom in Marina Furnished,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
737,Studio - Steps from Downtown,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
738,Marco Polo - Snug Studio at the Heart of JVC Amidst Parks,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
739,GuestReady - Nautical with Views of Dubai Creek,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES
740,Grand Excelsior Hotel - Bur Dubai,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO
741,Lakeside Serenity Retreat with Soothing Lake Views,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
742,Premium Studio I Discovery Gardens,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES
743,Keysplease Lovely 2 BR Jumeira Garden City Sheikh Zayed Road 817,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES
744,Large 1BR apartment with a Study in JVC!,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
745,Frank Porter - Mon Reve,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES
746,MAG318 Business Bay,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES
747,Ultimate Stay / Downtown / 3 Beds / Upscale Luxury / Fantastic Finishing / New Building,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES
748,Large 2BD Port De La Mer with Beach and Sea View,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
749,Modern One Bedroom in Park Gate,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
750,Luxury StayCation - Stylish Apartment With Balcony And City Views,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
751,LUXURY 1 BR Apartment at Marina Gate Jumeirah Living,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
752,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
753,Cozy Studio - Goldcrest Executives JLT - NLN,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
754,Anantara 2 bedroom apartment with private beach Burj & sea view,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
755,Reserve Now Your Stylish Studio04 in Palm Tower Unbeatable Sea Views,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
756,"Holiday Inn Express Dubai Airport, an IHG Hotel",YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
757,"Dubai Fully Furnished Luxury Apartment, Artesia, Damac Hills,",YES,YES,NO,YES,NO,YES,NO,YES,NO,YES
758,Stunning Studio at Signature Livings South JVC by Deluxe Holiday Homes,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
759,Studio M Al Barsha Hotel by Millennium,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES
760,Silkhaus high floor Downtown 1BDR in The Loft,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO
761,Relaxing 1BR at Royal Amwaj Residences North Palm Jumeirah by Deluxe Holiday Homes,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO
762,Easy Click - High Quality 1 Bed Convertible to 2 Bed Brand New,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
763,Gorgeous Marina views - Luxury Dubai Apartment,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
764,Stunning Studio with Great Facilities and Community,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
765,Elegant Apartment Overlooking Dubai Mall Fountain.,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
766,Modern furnished studio in DIFC,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
767,Wow! Super Luxury Apartment in Dubai Marina - 1BR RO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO
768,Primestay - Vezul Residence Business Bay,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
769,"Penthouse, Jumeirah Village Circle, Dubai",YES,YES,YES,YES,NO,YES,NO,YES,YES,YES
770,Letstay - Tranquil 1BR Apartment With Balcony in Escan Tower,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES
771,Ibis Al Rigga,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
772,"Park Heights 1, Beautifully Furnished 2bedroom",NO,YES,NO,YES,YES,YES,YES,NO,NO,NO
773,Frank Porter - The Nook 2,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO
774,2BR Jumeirah Beach front Residence,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
775,Modern Spacious 2BR Canal View -Business Bay,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES
776,Primestay - Vera Residences Business Bay 1BR,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES
777,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,YES,YES,NO,YES,YES,NO,YES,YES,NO
778,"151 Residences Studios, Jumeirah Garden City Near Sheikh Zayed 703",YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
779,Brand New Studio In The Heart of Business Bay,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES
780,Letstay - Newly Furnished and Spacious Studio in Dana Tower,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES
781,"Private Room, Tecom / Al Brasha area, Metro Near",YES,NO,NO,NO,YES,NO,YES,YES,NO,YES
782,Letstay - Modern Apartment in The Park Point at Dubai Hills,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO
783,Studio Apartment with Great Amenities,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO
